File_Name,Note,Presence_of_Vibrato,Peak_Percentage,Mean_Difference,Max_Difference,Index_Max (First one/ Last one would make more sense),Location_Max(%),Start_End_Time (seconds),Duration,Notes
154237__carlos-vaquero__transverse-flute-c-4-tenuto-non-vibrato.wav,C4,no vibrato,4.037061549,17.78333333,333,10,0.1833333333,nan,nan,
154236__carlos-vaquero__transverse-flute-c-4-tenuto-non-vibrato.wav,C#4,no vibrato,1.083591331,66.30769231,302,2,0.2307692308,nan,nan,
154235__carlos-vaquero__transverse-flute-d-4-tenuto-non-vibrato.wav,D4,no vibrato,2.167182663,32.2,181,19,0.74,nan,nan,
154234__carlos-vaquero__transverse-flute-d-4-tenuto-non-vibrato.wav,D#4,no vibrato,5.587668593,13.73,303,58,0.686,nan,nan,
154233__carlos-vaquero__transverse-flute-e-4-tenuto-non-vibrato.wav,E4,no vibrato,6.563161609,12.54347826,126,30,0.3369565217,nan,nan,
154232__carlos-vaquero__transverse-flute-f-4-tenuto-non-vibrato.wav,F4,no vibrato,2.244582043,31.89285714,115,19,0.7142857143,nan,nan,
154231__carlos-vaquero__transverse-flute-f-4-tenuto-non-vibrato.wav,F#4,no vibrato,2.220459952,32.37,106,15,0.5925,nan,nan,
154230__carlos-vaquero__transverse-flute-g-4-tenuto-non-vibrato.wav,G4,no vibrato,8.585858586,9.63559322,130,62,0.53389,nan,nan,
154229__carlos-vaquero__transverse-flute-g-4-tenuto-non-vibrato.wav,G#4,no vibrato,2.034174125,30.833,171,20,0.875,nan,nan,
154204__carlos-vaquero__transverse-flute-a-4-tenuto-non-vibrato.wav,A4,no vibrato,0.1618122977,4,4,0,1,nan,nan,
154205__carlos-vaquero__transverse-flute-a-4-tenuto-non-vibrato.wav,A#4,no vibrato,6.193458594,11.13,316,20,0.2386,nan,nan,
154206__carlos-vaquero__transverse-flute-b-4-tenuto-non-vibrato.wav,B4,no vibrato,6.713780919,9.68,116,48,0.5212,nan,nan,
154207__carlos-vaquero__transverse-flute-c-5-tenuto-non-vibrato.wav,C5,no vibrato,8.383685801,9.7,454,26,0.2454545,nan,nan,
154208__carlos-vaquero__transverse-flute-c-5-tenuto-non-vibrato.wav,C#5,no vibrato,7.376478775,9.2,209,42,0.40952,nan,nan,
154209__carlos-vaquero__transverse-flute-d-5-tenuto-non-vibrato.wav,D5,no vibrato,7.532667179,11.09278351,202,31,0.3298,nan,nan,
