File_Name,tag,Presence_of_Vibrato,Type
Neumman render 001,good-vibrato,vibrato,note
Neumman render 002,good-vibrato,vibrato,note
Neumman render 003,good-vibrato,vibrato,note
Neumman-03 render 001,good-vibrato,vibrato,note
Neumman-05 render 001,vibrato-out-of-tune,vibrato,note
Neumman-06 render 001,vibrato-out-of-tune,vibrato,note
Neumman-07 render 001,bad-vibrato,vibrato,note
Neumman-08 render 001,bad-vibrato,vibrato,note
Neumman-08 render 002,bad-vibrato,vibrato,note
Neumman-09 render 001,melody-bad-vibrato-bad-timing-timbre-errors,vibrato,melody
Neumman-14 render 001,melody-good-timing,vibrato,melody
Neumman-15 render 001,melody-bad-timing,vibrato,melody
Neumman-16 render 001,melody-pitch-errors,vibrato,melody
Neumman-17 render 001,scale-fast,no vibrato,scale
Neumman-18 render 001,scale-fast,no vibrato,scale
Neumman-19 render 001,melody-large-vibrato,vibrato,melody
Neumman-20 render 001,melody-no-vibrato,no vibrato,melody
Neumman-22 render 001,melody-some-vibratos,vibrato,melody
Neumman-23 render 001,scale-triads-staccato,no vibrato,scale-triads-staccato
Neumman-23 render 002,scale-triads-legato,no vibrato,scale-triads-legato
Neumman-23 render 003,scale-triads-combined,no vibrato,scale-triads-combined
Neumman-23 render 004,scale-triads-combined,no vibrato,scale-triads-combined
Neumman-24 render 001,melody-pitch-jumps,vibrato,melody
Neumman-24 render 002,melody-pitch-jumps,vibrato,melody
Neumman-24 render 003,melody-pitch-jumps,vibrato,melody
Neumman-24 render 004,melody-pitch-jumps,vibrato,melody
Neumman-25 render 001,melody-bad-articulation,vibrato,melody
Neumman-25 render 002,melody-bad-articulation,vibrato,melody
Neumman-25 render 003,melody-bad-articulation,vibrato,melody
Neumman-25 render 004,melody-bad-articulation,vibrato,melody
Neumman-26 render 001,bad-articulation,vibrato,articulation
Neumman-27 render 001,bad-articulation,no vibrato,articulation
Neumman-27 render 002,bad-articulation,no vibrato,articulation
Neumman-27 render 003,bad-articulation,vibrato,articulation
Neumman-28 render 001,melody-bad-timbre,vibrato,melody
Neumman-28 render 002,melody-bad-timbre,vibrato,melody
Neumman-28 render 003,melody-bad-timbre,vibrato,melody
Neumman-28 render 004,melody-bad-timbre,vibrato,melody
Neumman-29 render 001,melody-bad-timbre-bad-timing,vibrato,melody
Neumman-29 render 002,melody-bad-timbre-bad-timing,vibrato,melody
Neumman-29 render 003,melody-bad-timbre-bad-timing,vibrato,melody
Neumman-29 render 004,melody-bad-timbre-bad-timing,vibrato,melody
Neumman-30 render 001,melody-bad-vibrato,vibrato,melody
Neumman-30 render 002,melody-bad-vibrato,vibrato,melody
Neumman-30 render 003,melody-bad-vibrato,vibrato,melody
Neumman-30 render 004,melody-bad-vibrato,vibrato,melody
Neumman-32 render 001,melody-good-vibrato,vibrato,melody
Neumman-32 render 002,melody-good-vibrato,vibrato,melody
Neumman-32 render 003,melody-good-vibrato,vibrato,melody
Neumman-32 render 004,melody-good-vibrato,vibrato,melody
Neumman-32 render 005,melody-good-vibrato,vibrato,melody
